Row Labels,Count of State
Andhra Pradesh,1266
Arunachal Pradesh,292
Assam,731
Bihar,896
Chhattisgarh,915
Delhi,203
Goa,246
Gujarat,817
Haryana,631
Himachal Pradesh,616
Jammu and Kashmir,631
Jharkhand,270
Karnataka,1432
Kerala,534
Madhya Pradesh,845
Maharashtra,770
Manipur,444
Meghalaya,649
Mizoram,416
Nagaland,689
Odisha,760
Puducherry,670
Punjab,397
Sikkim,226
Tamil Nadu,822
Telangana,397
Tripura,441
Uttar Pradesh,825
Uttarakhand,764
West Bengal,1094
Grand Total,19689
